step:467/1390 train_time:1154918ms step_avg:2473.06ms
step:468/1390 train_time:1162515ms step_avg:2484.01ms
step:469/1390 train_time:1170111ms step_avg:2494.91ms
step:470/1390 train_time:1177707ms step_avg:2505.76ms
step:471/1390 train_time:1185305ms step_avg:2516.57ms
step:472/1390 train_time:1192898ms step_avg:2527.33ms
step:473/1390 train_time:1200493ms step_avg:2538.04ms
step:474/1390 train_time:1208088ms step_avg:2548.71ms
step:475/1390 train_time:1215684ms step_avg:2559.33ms
step:476/1390 train_time:1223278ms step_avg:2569.91ms
step:477/1390 train_time:1230877ms step_avg:2580.45ms
step:478/1390 train_time:1238470ms step_avg:2590.94ms
step:479/1390 train_time:1246069ms step_avg:2601.40ms
step:480/1390 train_time:1253664ms step_avg:2611.80ms
step:481/1390 train_time:1261263ms step_avg:2622.17ms
step:482/1390 train_time:1268857ms step_avg:2632.48ms
step:483/1390 train_time:1276455ms step_avg:2642.76ms
step:484/1390 train_time:1284051ms step_avg:2653.00ms
step:485/1390 train_time:1291649ms step_avg:2663.19ms
step:486/1390 train_time:1299244ms step_avg:2673.34ms
step:487/1390 train_time:1306841ms step_avg:2683.45ms
step:488/1390 train_time:1314437ms step_avg:2693.52ms
step:489/1390 train_time:1322034ms step_avg:2703.55ms
step:490/1390 train_time:1329627ms step_avg:2713.52ms
step:491/1390 train_time:1337225ms step_avg:2723.47ms
step:492/1390 train_time:1344820ms step_avg:2733.37ms
step:493/1390 train_time:1352418ms step_avg:2743.24ms
step:494/1390 train_time:1360014ms step_avg:2753.06ms
step:495/1390 train_time:1367612ms step_avg:2762.85ms
step:496/1390 train_time:1375209ms step_avg:2772.60ms
step:497/1390 train_time:1382807ms step_avg:2782.31ms
step:498/1390 train_time:1390401ms step_avg:2791.97ms
step:499/1390 train_time:1397999ms step_avg:2801.60ms
step:500/1390 train_time:1405594ms step_avg:2811.19ms
step:500/1390 val_loss:4.1612 train_time:1405876ms step_avg:2811.75ms
